"대권역","관측소 명","운영 여부","관측 방법","관측소 코드","표준유역 코드","관할 기관"
"한강","용인시(역삼동주민센터)","운영","T/M","10164070","101601","환경부"
"한강","경안교","운영","T/M","10164075","101603","한국수력원자력"
"한강","광주시(경안교)","운영","T/M","10164080","101603","환경부"
"한강","남양주시(팔당댐)","운영","T/M","10174020","101701","환경부"
"한강","서울","운영","보통","10181108","101809","기상청"
"한강","의정부시(중앙초교)","운영","T/M","10184010","101808","환경부"
"한강","포천시(내촌면사무소)","운영","T/M","10184020","101802","환경부"
"한강","성남시(한국학중앙연구원)","운영","T/M","10184040","101805","환경부"
"한강","남양주시(금곡초교)","운영","T/M","10184060","101801","환경부"
"한강","서울시(구로구청)","운영","T/M","10184080","101816","환경부"
"한강","안양시(충훈1교)","운영","T/M","10184090","101815","환경부"
"한강","서울시(대곡교)","운영","T/M","10184100","101806","환경부"
"한강","남양주시(진관교)","운영","T/M","10184110","101803","환경부"
"한강","포천시(진목리)","운영","T/M","10184120","101802","환경부"
"한강","의정부시(도봉차량기지)","운영","T/M","10184125","101808","환경부"
"한강","성남시(대장동)","운영","T/M","10184130","101804","환경부"
"한강","서울시(송정동)","운영","T/M","10184140","101810","환경부"
"한강","과천시(한국수자원공사)","운영","T/M","10184150","101806","환경부"
"한강","부천시(부안초교)","운영","T/M","10184160","101815","환경부"
"한강","군포시(군포1동주민센터)","운영","T/M","10184170","101814","환경부"
"한강","성남시(성남북초교)","운영","T/M","10184180","101805","환경부"
"한강","서울시(동막골주차장)","운영","T/M","10184190","101810","환경부"
"한강","서울시(월계2교)","운영","T/M","10184200","101810","환경부"
"한강","의왕시(포일동)","운영","T/M","10184210","101814","환경부"
"한강","남양주시(진접읍사무소)","운영","T/M","10184220","101802","환경부"
"한강","성남시(구미초교)","운영","T/M","10184230","101804","환경부"
"한강","김포시(김포시청)","운영","T/M","10194010","101903","환경부"
"한강","귤현보","운영","T/M","10194020","101903","한국수자원공사"
"한강","아라김포TM","운영","T/M","10194030","101904","한국수자원공사"
"한강","연천군(고문분교)","운영","T/M","10204010","102215","환경부"
"한강","연천군(상리초교)","운영","T/M","10204020","102214","환경부"
"한강","연천군(임진교)","운영","T/M","10214010","102109","환경부"
"한강","연천군(횡산리)","운영","T/M","10214020","102108","한국수자원공사"
"한강","연천군(군남댐)","운영","T/M","10214030","102108","한국수자원공사"
"한강","철원","운영","보통","10221095","102204","기상청"
"한강","동두천","운영","보통","10221098","102213","기상청"
"한강","포천시(용담교)","운영","T/M","10224010","102204","환경부"
"한강","포천시(영송리)","운영","T/M","10224020","102210","환경부"
"한강","철원군(청양리)","운영","T/M","10224030","102202","환경부"
"한강","포천시(노곡리)","운영","T/M","10224040","102206","환경부"
"한강","양주시(봉암초교)","운영","T/M","10224050","102213","환경부"
"한강","포천시(포천삼정초교)","운영","T/M","10224060","102213","환경부"
"한강","포천시(송우초교)","운영","T/M","10224070","102208","환경부"
"한강","철원군(오덕초교)","운영","T/M","10224080","102203","환경부"
"한강","포천시(화현초교)","운영","T/M","10224090","102209","환경부"
"한강","철원군(서면초교)","운영","T/M","10224100","102202","환경부"
"한강","파주","운영","보통","10231099","102304","기상청"
"한강","파주시(통일대교)","운영","T/M","10234010","102304","환경부"
"한강","파주시(법원리)","운영","T/M","10234020","102306","환경부"
"한강","파주시(신산초교)","운영","T/M","10234030","102305","환경부"
"한강","파주시(용연초교)","운영","T/M","10234040","102303","환경부"
"안성천","수원","운영","보통","11011119","110112","기상청"
"안성천","평택시(진위면사무소)","운영","T/M","11014010","110114","환경부"
"안성천","안성시(안성시청)","운영","T/M","11014020","110101","환경부"
"안성천","용인시(원삼면사무소)","운영","T/M","11014030","110102","환경부"
"안성천","화성시(양감면사무소)","운영","T/M","11014040","110115","환경부"
"안성천","천안시(대홍초교)","운영","T/M","11014050","110105","환경부"
"안성천","화성시(수원대학교)","운영","T/M","11014060","110113","환경부"
"안성천","평택시(회화리)","운영","T/M","11014070","110114","환경부"
"안성천","평택시(군문교)","운영","T/M","11014080","110107","환경부"
"안성천","용인시(신갈저수지)","운영","T/M","11014090","110110","환경부"
"안성천","용인시(이동면사무소)","운영","T/M","11014100","110109","환경부"
"안성천","천안시(성거읍사무소)","운영","T/M","11014110","110105","환경부"
"안성천","안성시(삼암리)","운영","T/M","11014120","110103","환경부"
"안성천","안성시(안성서운중교)","운영","T/M","11014130","110104","환경부"
"한강","파주시(적암초교)","운영","T/M","11014140","102301","환경부"
"안성천","대구(기)","운영","보통","11111   ","11111 ","기상청"
"한강서해","백령도","운영","보통","12011102","120108","기상청"
"한강서해","인천","운영","보통","12011112","120102","기상청"
"한강서해","강화","운영","보통","12011201","120104","기상청"
"한강서해","아라인천TM","운영","T/M","12014010","120102","한국수자원공사"
"한강서해","안산시(안산호동초교)","운영","T/M","12024010","120201","환경부"
"한강서해","안산시(장상동)","운영","T/M","12024020","120201","환경부"
"한강동해","속초","운영","보통","13011090","130104","기상청"
"한강동해","양양군(갈천리)","운영","T/M","13014010","130106","환경부"
"한강","인제군(한계령)","운영","T/M","13014020","101103","환경부"
"한강동해","북강릉","운영","보통","13021104","130202","기상청"
"한강동해","강릉","운영","보통","13021105","130204","기상청"
"한강동해","동해","운영","보통","13021106","130207","기상청"
"한강동해","강릉시(소금강분소)","운영","T/M","13024010","130201","환경부"
"한강동해","동해시(달방댐)","운영","T/M","13024030","130207","한국수자원공사"
"한강동해","삼척시(심포리)","운영","T/M","13034010","130301","환경부"