"대권역","관측소 명","운영 여부","관측 방법","관측소 코드","표준유역 코드","관할 기관"
"한강동해","양양군(용천2교)","운영","T/M","1301630","130107","환경부"
"한강동해","양양군(북평교)","운영","T/M","1301632","130106","환경부"
"한강동해","양양군(양양대교)","운영","T/M","1301658","130107","환경부"
"한강동해","오봉","운영","T/M","1302645","130203","한국농어촌공사"
"한강동해","강릉시(회산교)","운영","T/M","1302648","130204","환경부"
"한강동해","동해시(원평교)","운영","T/M","1302665","130207","한국수자원공사"
"한강동해","동해시(북평교)","운영","T/M","1302668","130207","환경부"
"한강동해","강릉시(송림교)","운영","T/M","1302670","130201","환경부"
"한강동해","삼척시(남양촌교)","운영","T/M","1303610","130305","환경부"
"한강동해","삼척시(상정교)","운영","T/M","1303650","130302","환경부"
"한강동해","삼척시(오십천교)","운영","T/M","1303680","130302","환경부"